id,cluster
283809,4
284204,1
2129550,4
283659,4
283705,4
283949,4
283947,4
283750,4
283588,4
283870,1
283693,5
283707,4
283702,1
283718,4
283747,4
305167,4
283780,4
283784,4
283786,4
283860,4
283889,4
283892,4
283906,4
283910,4
283940,4
283961,4
283969,1
283981,4
284015,1
284166,4
283990,5
284014,4
284192,4
283897,4
284032,4
305173,4
283647,4
283842,1
283960,4
283826,4
283744,4
2718942,1
283813,4
283882,4
283979,4
305166,4
284070,4
305209,4
284101,4
283678,4
283726,5
283793,4
283803,4
283844,4
283950,4
284016,1
284099,4
284111,4
284159,4
284172,4
2602067,4
305217,4
305201,4
283714,4
2629400,4
283923,4
283653,4
283740,4
283665,4
284160,4
2671968,4
283908,4
284001,4
3239424,4
283631,4
283632,4
283728,4
283792,4
283755,5
283866,4
283600,4
283654,4
284035,1
283861,4
2089086,4
2055681,4
284012,4
284130,4
2089087,4
283884,4
283594,4
283869,4
284156,1
1056119,6
1056120,6
1056114,6
2965914,6
1056113,6
2072030,6
1056116,6
1056125,6
1681647,6
1056121,6
1056110,6
1056123,6
1056111,6
3298606,6
1056109,6
2675164,6
1056115,1
2247521,6
229423,3
2954630,3
229385,3
229354,3
229412,3
229377,3
229410,3
229384,3
229417,5
1538686,5
229373,3
229421,1
2831971,1
229350,3
229368,3
229383,3
229351,4
229366,3
229393,3
229408,3
229378,1
229401,5
229380,3
229360,3
229363,3
229364,4
229419,3
229394,3
1724664,3
229405,5
229358,3
229370,3
229367,3
229406,3
229397,4
229372,1
229422,3
229407,1
229396,3
229392,3
229379,3
229427,5
229398,5
229387,3
229426,3
229415,1
2429945,3
229369,5
229353,1
229424,5
229425,3
229359,3
261585,3
229374,1
229361,1
229414,3
1571483,3
229355,4
229413,3
3002712,1
229365,4
2940907,3
2961475,6
229382,4
229362,1
229395,3
229381,3
229409,3
229420,3
229411,3
229386,1
229416,1
229399,3
229352,3
229400,3
229391,3
229357,3
229418,1
229390,4
229356,3
229404,3
229371,3
229389,3
261586,1
229388,3
3140810,4
265921,4
265831,1
265786,4
265815,4
1857395,2
265759,4
265589,4
265717,4
265939,2
265905,4
265671,4
265777,1
2900210,4
2941325,2
2989361,4
265709,4
265606,4
265588,4
265751,4
1905557,4
265834,4
265923,4
265657,4
265630,4
265819,3
265731,2
265966,4
265849,1
265605,4
2284365,4
265832,1
265919,4
265959,4
265972,4
265765,4
265922,4
265618,4
265659,4
265958,4
265647,4
265983,1
265771,4
265633,1
265821,4
265612,4
265994,4
265615,4
265841,4
265634,4
265757,4
265778,4
265656,4
265665,4
265745,4
265883,4
265886,4
3231550,4
265839,4
265596,1
265604,4
265711,4
265674,4
265982,4
265820,4
265843,4
265864,4
265868,4
265912,4
265941,3
265993,4
266001,4
266003,4
265933,4
265961,1
265650,4
265857,1
265783,2
265940,1
265802,4
265600,4
266002,4
1843595,4
265981,4
2684596,4
265798,4
265713,4
265613,4
265722,4
265686,4
265768,4
265774,4
2311714,4
265955,4
265960,4
265907,4
265619,4
265621,4
265651,4
265738,4
265712,4
265729,4
265785,4
265829,4
265853,4
265897,4
265734,4
265658,1
265784,4
265676,4
265602,4
265703,4
265885,4
265963,4
2594268,4
3238563,4
2629320,4
265632,4
265749,4
265781,4
265740,1
2778735,1
265887,4
2372185,4
265652,4
265683,4
265623,3
265620,4
265904,3
2691577,1
265806,4
2001348,4
277587,4
265679,4
265694,4
265936,1
265937,2
265977,4
277584,4
2691578,4
1850494,4
265591,4
265789,0
265800,4
265677,4
265684,4
265697,4
265910,4
265995,4
265801,4
265672,4
265696,4
265754,1
265950,4
265881,1
265889,4
265624,5
265626,4
265649,4
265835,1
265929,4
265616,1
265625,4
265643,4
265693,4
265721,4
265996,4
265682,4
265685,4
265690,4
265899,4
265773,4
265776,4
265846,4
265723,4
265888,4
265884,4
265942,1
265952,4
265752,4
265880,4
265920,3
265855,4
265680,4
265847,4
265814,4
265727,4
265782,4
265991,4
265747,4
265702,4
265909,4
265852,4
265865,2
265867,1
265934,4
265732,4
265944,3
265766,4
265675,4
390706,6
400971,6
400929,6
400860,6
400884,1
401005,6
400967,6
2849168,6
400856,6
2172188,6
401001,6
401014,6
400867,6
400892,1
400945,0
400851,6
400861,6
400886,6
1614050,5
1674099,6
400926,6
400920,6
400877,6
400880,6
400955,6
400979,6
400987,6
400918,6
400874,6
400972,6
400894,6
400852,6
400968,6
400981,6
400888,6
400914,6
400865,6
2131792,6
400893,6
400991,0
400876,6
400873,6
400950,6
400882,6
400912,1
400954,6
400923,1
400957,6
400996,6
400964,1
400965,6
400985,6
400998,2
400890,6
400862,6
1734982,6
400900,6
400940,6
400904,6
400941,1
400943,6
400997,6
400975,6
401007,1
400909,6
400913,6
400915,6
401000,6
400859,6
400942,6
400863,6
400989,6
400931,6
400849,4
400944,6
400855,4
400878,6
400858,6
401012,6
400881,6
400857,6
2741340,1
400911,6
401011,6
401009,6
400930,6
401010,6
400986,5
400956,6
2681132,6
400958,6
400959,0
400879,1
401002,6
400848,6
400907,6
400973,6
400969,6
400905,6
400850,6
400901,6
400988,6
400947,6
400961,6
400896,6
400866,6
401008,6
400949,6
400953,1
400928,6
400885,6
1964534,0
400908,6
1574960,6
400902,6
400887,1
400897,6
400935,6
400974,6
400999,6
400889,6
400982,6
400922,6
400864,6
400980,6
400917,5
400934,6
400948,6
400933,6
400910,6
390707,6
400919,6
400994,4
401006,6
400895,6
400869,6
400976,1
